From	Entry	Transmembrane	Transit peptide	Gene Ontology (cellular component)
P29348	P29348			acrosomal vesicle [GO:0001669]; apical plasma membrane [GO:0016324]; axoneme [GO:0005930]; cytoplasm [GO:0005737]; heterotrimeric G-protein complex [GO:0005834]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q03557	Q03557			extrinsic component of mitochondrial inner membrane [GO:0031314]; glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]
O75879	O75879		"TRANSIT 1..41; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]
P53260	P53260			glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q04839	Q04839			cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]
Q12263	Q12263			cellular bud neck [GO:0005935]; Gin4 complex [GO:1990317]; nucleus [GO:0005634]
Q9VYS4	Q9VYS4			cytoplasm [GO:0005737]; cytosol [GO:0005829]
O17087	O17087			cytoplasm [GO:0005737]; cytosol [GO:0005829]; P granule [GO:0043186]; protein-containing complex [GO:0032991]; RNA polymerase complex [GO:0030880]; RNA-directed RNA polymerase complex [GO:0031379]
D2WL32	D2WL32		"TRANSIT 1..49; /note=""Chloroplast""; /evidence=""ECO:0000255"""	amyloplast [GO:0009501]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; plastid [GO:0009536]
Q6PBM1	Q6PBM1		"TRANSIT 1..14; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9LSV0	Q9LSV0			cytosol [GO:0005829]
Q2QPW1	Q2QPW1			cytosol [GO:0005829]; nucleus [GO:0005634]
Q6PGG6	Q6PGG6			cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; telomerase holoenzyme complex [GO:0005697]
Q811S9	Q811S9			chromosome [GO:0005694]; midbody [GO:0030496]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q99JY3	Q99JY3			cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]
Q2KIR7	Q2KIR7			mitochondrion [GO:0005739]
Q94JQ3	Q94JQ3		"TRANSIT 1..60; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; plastid [GO:0009536]
G5EEN4	G5EEN4			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9Y7U3	Q9Y7U3			mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q8IVS8	Q8IVS8			cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]
Q9FFH0	Q9FFH0			nucleus [GO:0005634]
P39726	P39726		"TRANSIT 1..47; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]
Q5ZR76	Q5ZR76			cytoplasm [GO:0005737]
Q9NWZ8	Q9NWZ8			cytoplasm [GO:0005737]; cytosol [GO:0005829]; Gemini of coiled bodies [GO:0097504]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SMN complex [GO:0032797]; SMN-Sm protein complex [GO:0034719]
Q58EE9	Q58EE9			cell projection [GO:0042995]; cytoplasm [GO:0005737]; intermediate filament [GO:0005882]; type III intermediate filament [GO:0045098]
P14136	P14136			astrocyte end-foot [GO:0097450]; cell body [GO:0044297]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoplasmic side of lysosomal membrane [GO:0098574]; cytosol [GO:0005829]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]
Q59VM7	Q59VM7			cytoplasm [GO:0005737]
Q16775	Q16775		"TRANSIT 1..13; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9UI32	Q9UI32		"TRANSIT 1..14; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9C102	Q9C102			cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q12393	Q12393			matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrion [GO:0005739]
Q9FN69	Q9FN69			nucleus [GO:0005634]
Q95ZK7	Q95ZK7			cytoplasm [GO:0005737]; P granule [GO:0043186]; perinuclear region of cytoplasm [GO:0048471]; RNA polymerase complex [GO:0030880]; RNA-directed RNA polymerase complex [GO:0031379]
Q53GS7	Q53GS7			centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; nucleolus [GO:0005730]
Q9LZS3	Q9LZS3		"TRANSIT 1..32; /note=""Chloroplast""; /evidence=""ECO:0000250"""	amyloplast [GO:0009501]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]
Q9DB00	Q9DB00			fibrillar center [GO:0001650]; Ino80 complex [GO:0031011]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P46984	P46984			chromosome, telomeric region [GO:0000781]; EKC/KEOPS complex [GO:0000408]; nucleus [GO:0005634]
F4JTE7	F4JTE7		"TRANSIT 1..46; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
P81274	P81274			cell cortex [GO:0005938]; cell cortex region [GO:0099738]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lateral cell cortex [GO:0097575]; lateral plasma membrane [GO:0016328]; mitotic spindle pole [GO:0097431]; protein-containing complex [GO:0032991]
Q9NW75	Q9NW75			nuclear speck [GO:0016607]; nucleolus [GO:0005730]
O75791	O75791			cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q14449	Q14449			cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
Q03160	Q03160			cell projection [GO:0042995]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]
Q84Y95	Q84Y95		"TRANSIT 1..63; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; mitochondrial matrix [GO:0005759]
Q9BQ67	Q9BQ67			chromosome [GO:0005694]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q8L7C9	Q8L7C9			apoplast [GO:0048046]; chloroplast [GO:0009507]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
D2XV59	D2XV59			cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]
Q0JKD0	Q0JKD0		"TRANSIT 1..36; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; plastid [GO:0009536]
Q9LV03	Q9LV03		"TRANSIT 1..49; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; plastid [GO:0009536]
Q94C74	Q94C74		"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; plastid [GO:0009536]
F3Y5P4	F3Y5P4			centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]
Q3V6T2	Q3V6T2			centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q03569	Q03569			aster [GO:0005818]; cell cortex [GO:0005938]; mitotic spindle [GO:0072686]
Q8R4T5	Q8R4T5			anchoring junction [GO:0070161]; glutamatergic synapse [GO:0098978]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; Schaffer collateral - CA1 synapse [GO:0098685]
Q8GWS0	Q8GWS0		"TRANSIT 1..51; /note=""Chloroplast""; /evidence=""ECO:0000305, ECO:0007744|PubMed:22223895"""	chloroplast [GO:0009507]; cytoplasm [GO:0005737]
Q923K4	Q923K4		"TRANSIT 1..81; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q69RJ0	Q69RJ0		"TRANSIT 1..52; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
P34897	P34897		"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P14519"""	BRISC complex [GO:0070552]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule cytoskeleton [GO:0015630]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P39717	P39717			cell cortex of cell tip [GO:0051285]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P15505	P15505		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
Q9SCX9	Q9SCX9		"TRANSIT 1..32; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; cytosol [GO:0005829]; glycerol-3-phosphate dehydrogenase complex [GO:0009331]
P32191	P32191		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; integral component of mitochondrial outer membrane [GO:0031307]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P36970	P36970		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q60760	Q60760			cytosol [GO:0005829]; protein-containing complex [GO:0032991]
Q08622	Q08622		"TRANSIT 1..21; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
E5RQA1	E5RQA1			nucleus [GO:0005634]
Q22663	Q22663			cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear lamina [GO:0005652]; plasma membrane [GO:0005886]
Q86SX6	Q86SX6		"TRANSIT 1..31; /note=""Mitochondrion""; /evidence=""ECO:0000255, ECO:0007744|PubMed:25944712"""	dendrite [GO:0030425]; iron-sulfur cluster assembly complex [GO:1990229]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]
Q8TAX9	Q8TAX9	"TRANSMEM 83..100; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:Q5Y4Y6""; TRANSMEM 104..125; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:Q5Y4Y6""; TRANSMEM 168..183; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:Q5Y4Y6""; TRANSMEM 187..199; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:Q5Y4Y6"""		cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q60EZ2	Q60EZ2			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9Y2Q3	Q9Y2Q3			cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]
O76003	O76003			cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; iron-sulfur cluster assembly complex [GO:1990229]; nucleus [GO:0005634]; Z disc [GO:0030018]
Q8IX06	Q8IX06			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P17695	P17695		"TRANSIT 1..30; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:20036764, ECO:0000305|PubMed:16606613"""	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q03460	Q03460		"TRANSIT 1..101; /note=""Amyloplast""; /evidence=""ECO:0000269|PubMed:8453303"""	amyloplast [GO:0009501]
P46309	P46309		"TRANSIT 1..?; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; plastid [GO:0009536]
Q9LX31	Q9LX31		"TRANSIT 1..69; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast membrane [GO:0031969]
Q04322	Q04322			cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; Golgi-associated vesicle [GO:0005798]; incipient cellular bud site [GO:0000131]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q9VXG1	Q9VXG1			nucleus [GO:0005634]
P0CS82	P0CS82			nucleus [GO:0005634]
Q99714	Q99714			cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrial ribonuclease P complex [GO:0030678]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; tRNA methyltransferase complex [GO:0043527]
Q0J7P4	Q0J7P4			CCAAT-binding factor complex [GO:0016602]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q568P9	Q568P9			cytoplasm [GO:0005737]; nucleus [GO:0005634]; P granule [GO:0043186]
C8V4D4	C8V4D4			cytoplasm [GO:0005737]; SCF ubiquitin ligase complex [GO:0019005]
Q8LF89	Q8LF89			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q94BZ7	Q94BZ7		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	chromosome [GO:0005694]; mitochondrion [GO:0005739]
P34470	P34470			chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; kinetochore [GO:0000776]; nucleosome [GO:0000786]; nucleus [GO:0005634]
O14092	O14092		"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
O04921	O04921		"TRANSIT 1..83; /note=""Chloroplast""; /evidence=""ECO:0007744|PubMed:22223895"""	chloroplast membrane [GO:0031969]; chloroplast thylakoid membrane [GO:0009535]; mitochondrion [GO:0005739]; plastid thylakoid membrane [GO:0055035]
F4KDN0	F4KDN0			cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q9C882	Q9C882			nucleus [GO:0005634]
Q80SU7	Q80SU7			cytosol [GO:0005829]; nucleus [GO:0005634]
Q8H991	Q8H991			nucleus [GO:0005634]
Q76N89	Q76N89			cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q6NVF4	Q6NVF4			cytoplasm [GO:0005737]; DNA replication factor A complex [GO:0005662]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; site of double-strand break [GO:0035861]
Q60848	Q60848			chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]
Q9BYK8	Q9BYK8			cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
P09211	P09211			cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; TRAF2-GSTP1 complex [GO:0097057]; vesicle [GO:0031982]
Q84XV2	Q84XV2			chromatin [GO:0000785]; nucleus [GO:0005634]
A4D1E9	A4D1E9			chromosome [GO:0005694]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]
Q9UBP9	Q9UBP9			cytoplasm [GO:0005737]
Q9SAC6	Q9SAC6		"TRANSIT 1..75; /note=""Chloroplast""; /evidence=""ECO:0007744|PubMed:22223895"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]
Q5YLB4	Q5YLB4		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion"""	chloroplast [GO:0009507]; chromosome [GO:0005694]; mitochondrion [GO:0005739]
Q96MB7	Q96MB7			centriolar satellite [GO:0034451]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q96CS2	Q96CS2			centrosome [GO:0005813]; cytosol [GO:0005829]; HAUS complex [GO:0070652]; mitotic spindle microtubule [GO:1990498]; spindle pole [GO:0000922]
Q9H6D7	Q9H6D7			centrosome [GO:0005813]; cytosol [GO:0005829]; HAUS complex [GO:0070652]; mitotic spindle microtubule [GO:1990498]
Q03385	Q03385			brush border [GO:0005903]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q8C0L9	Q8C0L9			cytoplasm [GO:0005737]; cytosol [GO:0005829]
P90551	P90551			glycerol-3-phosphate dehydrogenase complex [GO:0009331]; glycosome [GO:0020015]
A2XA73	A2XA73			nucleus [GO:0005634]
P08992	P08992			nucleosome [GO:0000786]; nucleus [GO:0005634]
P28676	P28676			azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
Q07845	Q07845			Las1 complex [GO:0090730]; nucleolar chromatin [GO:0030874]; nucleus [GO:0005634]
Q93V58	Q93V58			cytoplasm [GO:0005737]; nucleus [GO:0005634]
A8E0R9	A8E0R9			cell cortex [GO:0005938]; cytoplasm [GO:0005737]; mitochondrial cloud [GO:0032019]; pole plasm [GO:0045495]
Q62833	Q62833			cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P27456	P27456		"TRANSIT 1..60; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; mitochondrion [GO:0005739]
P38646	P38646		"TRANSIT 1..46; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:1286669, ECO:0000269|PubMed:7498169, ECO:0000269|PubMed:9150948"""	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; MIB complex [GO:0140275]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; SAM complex [GO:0001401]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]
Q8LBK6	Q8LBK6		"TRANSIT 1..37; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9NZM5	Q9NZM5			cytosol [GO:0005829]; fibrillar center [GO:0001650]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
Q9M2W2	Q9M2W2		"TRANSIT 1..56; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; peroxisome [GO:0005777]
Q9FGW9	Q9FGW9			nucleus [GO:0005634]
P53258	P53258			cytoplasm [GO:0005737]
Q9SS38	Q9SS38		"TRANSIT 1..34; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chromosome [GO:0005694]
Q9I9R0	Q9I9R0			Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; Gemini of coiled bodies [GO:0097504]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; sarcoplasm [GO:0016528]
Q75N03	Q75N03			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]; ubiquitin ligase complex [GO:0000151]
Q8H7F6	Q8H7F6		"TRANSIT 1..62; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrial matrix [GO:0005759]
Q9CAF6	Q9CAF6		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion"""	chloroplast [GO:0009507]; chloroplast nucleoid [GO:0042644]; chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; mediator complex [GO:0016592]; mitochondrion [GO:0005739]
Q5YLB5	Q5YLB5		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion"""	chloroplast [GO:0009507]; chromosome [GO:0005694]; mitochondrion [GO:0005739]
Q0WP44	Q0WP44			cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA nuclear export complex [GO:0042565]
O94927	O94927			centrosome [GO:0005813]; cytosol [GO:0005829]; HAUS complex [GO:0070652]; mitotic spindle microtubule [GO:1990498]
Q9V4C8	Q9V4C8			ATAC complex [GO:0140672]; histone methyltransferase complex [GO:0035097]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]
Q9SL92	Q9SL92		"TRANSIT 1..37; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plastid [GO:0009536]
Q6K678	Q6K678			nucleus [GO:0005634]
Q9Y5Z4	Q9Y5Z4			azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]
Q8NEC7	Q8NEC7			cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]
